[DBG-MEM]: n allocs: 1702, alloc size: 18939, non used memory by user: 1512304, non used memory by user percetnage: 1.946617, elapsed time: 0.008001, freeded chunks percentage: 11.065574, non freeded chunks percetnage: 88.934426
[DBG-MEM]: n allocs: 1440, alloc size: 18686, non used memory by user: 1164880, non used memory by user percetnage: 1.540598, elapsed time: 0.008001, freeded chunks percentage: 11.404562, non freeded chunks percetnage: 88.595438
[DBG-MEM]: n allocs: 1116, alloc size: 14442, non used memory by user: 894944, non used memory by user percetnage: 1.231080, elapsed time: 0.003999, freeded chunks percentage: 12.982998, non freeded chunks percetnage: 87.017002
[DBG-MEM]: n allocs: 1025, alloc size: 14598, non used memory by user: 852384, non used memory by user percetnage: 1.178511, elapsed time: 0.004000, freeded chunks percentage: 12.259194, non freeded chunks percetnage: 87.740806
[DBG-MEM]: n allocs: 1462, alloc size: 19613, non used memory by user: 1295016, non used memory by user percetnage: 1.696169, elapsed time: 0.004000, freeded chunks percentage: 11.163337, non freeded chunks percetnage: 88.836663
[DBG-MEM]: n allocs: 1672, alloc size: 21146, non used memory by user: 1345960, non used memory by user percetnage: 1.735154, elapsed time: 0.008004, freeded chunks percentage: 9.398907, non freeded chunks percetnage: 90.601093
[DBG-MEM]: n allocs: 1939, alloc size: 13766, non used memory by user: 1509392, non used memory by user percetnage: 1.981416, elapsed time: 0.007999, freeded chunks percentage: 13.715711, non freeded chunks percetnage: 86.284289
[DBG-MEM]: n allocs: 1165, alloc size: 18900, non used memory by user: 1007888, non used memory by user percetnage: 1.354916, elapsed time: 0.004000, freeded chunks percentage: 10.119048, non freeded chunks percetnage: 89.880952
[DBG-MEM]: n allocs: 2068, alloc size: 23029, non used memory by user: 1762984, non used memory by user percetnage: 2.154450, elapsed time: 0.007999, freeded chunks percentage: 9.474591, non freeded chunks percetnage: 90.525409
[DBG-MEM]: n allocs: 2048, alloc size: 27500, non used memory by user: 1815200, non used memory by user percetnage: 2.169076, elapsed time: 0.011999, freeded chunks percentage: 7.162285, non freeded chunks percetnage: 92.837715
[DBG-MEM]: n allocs: 1263, alloc size: 20356, non used memory by user: 1121128, non used memory by user percetnage: 1.486923, elapsed time: 0.004001, freeded chunks percentage: 9.714286, non freeded chunks percetnage: 90.285714
[DBG-MEM]: n allocs: 1473, alloc size: 25207, non used memory by user: 1355688, non used memory by user percetnage: 1.720441, elapsed time: 0.004000, freeded chunks percentage: 10.451306, non freeded chunks percetnage: 89.548694
[DBG-MEM]: n allocs: 1457, alloc size: 27098, non used memory by user: 1270848, non used memory by user percetnage: 1.614789, elapsed time: 0.004001, freeded chunks percentage: 9.828010, non freeded chunks percetnage: 90.171990
[DBG-MEM]: n allocs: 1789, alloc size: 24798, non used memory by user: 1564480, non used memory by user percetnage: 1.948044, elapsed time: 0.008001, freeded chunks percentage: 8.316222, non freeded chunks percetnage: 91.683778
[DBG-MEM]: n allocs: 1653, alloc size: 15825, non used memory by user: 1233224, non used memory by user percetnage: 1.632401, elapsed time: 0.003999, freeded chunks percentage: 10.733844, non freeded chunks percetnage: 89.266156
[DBG-MEM]: n allocs: 2115, alloc size: 25566, non used memory by user: 1916856, non used memory by user percetnage: 2.290102, elapsed time: 0.008002, freeded chunks percentage: 7.448630, non freeded chunks percetnage: 92.551370
[DBG-MEM]: n allocs: 2172, alloc size: 28058, non used memory by user: 1905576, non used memory by user percetnage: 2.249001, elapsed time: 0.012000, freeded chunks percentage: 7.640068, non freeded chunks percetnage: 92.359932
[DBG-MEM]: n allocs: 2221, alloc size: 15330, non used memory by user: 1866888, non used memory by user percetnage: 2.388175, elapsed time: 0.008001, freeded chunks percentage: 13.819286, non freeded chunks percetnage: 86.180714
[DBG-MEM]: n allocs: 1513, alloc size: 19645, non used memory by user: 1226408, non used memory by user percetnage: 1.611323, elapsed time: 0.008001, freeded chunks percentage: 9.363745, non freeded chunks percetnage: 90.636255
[DBG-MEM]: n allocs: 1191, alloc size: 15592, non used memory by user: 1001416, non used memory by user percetnage: 1.362724, elapsed time: 0.004000, freeded chunks percentage: 14.464534, non freeded chunks percetnage: 85.535466
[DBG-MEM]: n allocs: 2017, alloc size: 28504, non used memory by user: 1780768, non used memory by user percetnage: 2.124708, elapsed time: 0.008001, freeded chunks percentage: 7.940905, non freeded chunks percetnage: 92.059095
[DBG-MEM]: n allocs: 2238, alloc size: 27521, non used memory by user: 1980632, non used memory by user percetnage: 2.324102, elapsed time: 0.012002, freeded chunks percentage: 8.168317, non freeded chunks percetnage: 91.831683
[DBG-MEM]: n allocs: 1810, alloc size: 26456, non used memory by user: 1604368, non used memory by user percetnage: 1.983649, elapsed time: 0.008000, freeded chunks percentage: 9.558068, non freeded chunks percetnage: 90.441932
[DBG-MEM]: n allocs: 1594, alloc size: 30128, non used memory by user: 1435232, non used memory by user percetnage: 1.779214, elapsed time: 0.008001, freeded chunks percentage: 8.685446, non freeded chunks percetnage: 91.314554
[DBG-MEM]: n allocs: 2220, alloc size: 19058, non used memory by user: 1868360, non used memory by user percetnage: 2.337634, elapsed time: 0.008002, freeded chunks percentage: 12.267958, non freeded chunks percetnage: 87.732042
[DBG-MEM]: n allocs: 1823, alloc size: 26746, non used memory by user: 1689008, non used memory by user percetnage: 2.072867, elapsed time: 0.003998, freeded chunks percentage: 9.249743, non freeded chunks percetnage: 90.750257
[DBG-MEM]: n allocs: 2431, alloc size: 16130, non used memory by user: 1879256, non used memory by user percetnage: 2.361797, elapsed time: 0.008001, freeded chunks percentage: 12.660944, non freeded chunks percetnage: 87.339056
[DBG-MEM]: n allocs: 1373, alloc size: 25631, non used memory by user: 1190664, non used memory by user percetnage: 1.530186, elapsed time: 0.008003, freeded chunks percentage: 8.645161, non freeded chunks percetnage: 91.354839
[DBG-MEM]: n allocs: 1396, alloc size: 22790, non used memory by user: 1242120, non used memory by user percetnage: 1.613042, elapsed time: 0.007997, freeded chunks percentage: 8.575198, non freeded chunks percetnage: 91.424802
[DBG-MEM]: n allocs: 2515, alloc size: 17702, non used memory by user: 2180424, non used memory by user percetnage: 2.683385, elapsed time: 0.012002, freeded chunks percentage: 12.809917, non freeded chunks percetnage: 87.190083
[DBG-MEM]: n allocs: 2033, alloc size: 32010, non used memory by user: 1857072, non used memory by user percetnage: 2.161557, elapsed time: 0.007999, freeded chunks percentage: 7.678245, non freeded chunks percetnage: 92.321755
[DBG-MEM]: n allocs: 1769, alloc size: 23485, non used memory by user: 1510392, non used memory by user percetnage: 1.900371, elapsed time: 0.007998, freeded chunks percentage: 9.590410, non freeded chunks percetnage: 90.409590
[DBG-MEM]: n allocs: 1423, alloc size: 22749, non used memory by user: 1224400, non used memory by user percetnage: 1.588003, elapsed time: 0.008002, freeded chunks percentage: 8.062419, non freeded chunks percetnage: 91.937581
[DBG-MEM]: n allocs: 1414, alloc size: 20732, non used memory by user: 1195952, non used memory by user percetnage: 1.571392, elapsed time: 0.007998, freeded chunks percentage: 12.724936, non freeded chunks percetnage: 87.275064
[DBG-MEM]: n allocs: 1942, alloc size: 32022, non used memory by user: 1718136, non used memory by user percetnage: 2.033877, elapsed time: 0.008002, freeded chunks percentage: 7.396150, non freeded chunks percetnage: 92.603850
[DBG-MEM]: n allocs: 2607, alloc size: 27937, non used memory by user: 2410024, non used memory by user percetnage: 2.711575, elapsed time: 0.012000, freeded chunks percentage: 8.413793, non freeded chunks percetnage: 91.586207
[DBG-MEM]: n allocs: 1578, alloc size: 31072, non used memory by user: 1528768, non used memory by user percetnage: 1.860868, elapsed time: 0.007998, freeded chunks percentage: 5.691057, non freeded chunks percetnage: 94.308943
[DBG-MEM]: n allocs: 2041, alloc size: 18276, non used memory by user: 1712672, non used memory by user percetnage: 2.168513, elapsed time: 0.012001, freeded chunks percentage: 12.805392, non freeded chunks percetnage: 87.194608
[DBG-MEM]: n allocs: 2133, alloc size: 29266, non used memory by user: 1894112, non used memory by user percetnage: 2.230189, elapsed time: 0.012001, freeded chunks percentage: 8.312129, non freeded chunks percetnage: 91.687871
[DBG-MEM]: n allocs: 2183, alloc size: 33069, non used memory by user: 1889096, non used memory by user percetnage: 2.162034, elapsed time: 0.007852, freeded chunks percentage: 7.510917, non freeded chunks percetnage: 92.489083
[DBG-MEM]: n allocs: 2680, alloc size: 29419, non used memory by user: 2267104, non used memory by user percetnage: 2.550067, elapsed time: 0.011999, freeded chunks percentage: 7.209136, non freeded chunks percetnage: 92.790864
